Time [s],Channel A [V],Channel B [V]
0.162109375,0.009924,0.025
0.1625,0.004962,0
0.162890625,0.007443,0
0.16328125,0.004962,-0.025
0.163671875,0.007443,0
0.1640625,0.007443,0
0.164453125,0.007443,0
0.16484375,0.007443,0.025
0.165234375,0.007443,0.025
0.165625,0.007443,0.025
0.166015625,0.007443,0
0.16640625,0.007443,0
0.166796875,0.007443,-0.025
0.1671875,0.007443,-0.025
0.167578125,0.009924,-0.025
0.16796875,0.007443,0
0.168359375,0.007443,0
0.16875,0.007443,0
0.169140625,0.004962,0
0.16953125,0.007443,0
0.169921875,0.007443,0
0.1703125,0.004962,0
0.170703125,0.004962,-0.025
0.17109375,0.004962,-0.025
0.171484375,0.007443,0
0.171875,0.004962,0
0.172265625,0.007443,-0.025
0.17265625,0.002481,0
0.173046875,0.007443,-0.05
0.1734375,0.007443,0
0.173828125,0.007443,-0.025
0.17421875,0.004962,0
0.174609375,0.007443,0.025
0.175,0.007443,0
0.175390625,0.007443,0
0.17578125,0.009924,0
0.176171875,0.007443,0
0.1765625,0.004962,-0.025
0.176953125,0.004962,0
0.17734375,0.007443,0
0.177734375,0.004962,0
0.178125,0.004962,0
0.178515625,0.007443,0
0.17890625,0.004962,0
0.179296875,0.004962,0
0.1796875,0.002481,0
0.180078125,0.002481,-0.025
0.18046875,0.002481,0
0.180859375,0.002481,-0.025
0.18125,0,0.025
0.181640625,0,-0.025
0.18203125,0.002481,0
0.182421875,0.002481,0
0.1828125,0.002481,0
0.183203125,0.002481,0
0.18359375,-0.002481,-0.025
0.183984375,0.002481,0
0.184375,-0.002481,-0.025
0.184765625,-0.002481,0
0.18515625,-0.002481,0
0.185546875,0,0.025
0.1859375,-0.002481,0
0.186328125,-0.004962,0
0.18671875,-0.004962,-0.025
0.187109375,-0.007443,-0.025
0.1875,-0.007443,0
0.187890625,-0.007443,0
0.18828125,-0.012405,-0.025
0.188671875,-0.014886,0
0.1890625,-0.014886,0
0.189453125,-0.014886,0
0.18984375,-0.019848,-0.025
0.190234375,-0.017367,0
0.190625,-0.019848,0
0.191015625,-0.02481,0
0.19140625,-0.027291,-0.025
0.191796875,-0.027291,0
0.1921875,-0.034734,0
0.192578125,-0.034734,0
0.19296875,-0.042177,0
0.193359375,-0.037215,0
0.19375,-0.039696,0
0.194140625,-0.042177,0
0.19453125,-0.042177,0
0.194921875,-0.039696,-0.025
0.1953125,-0.037215,0
0.195703125,-0.032253,-0.025
0.19609375,-0.029772,-0.025
0.196484375,-0.019848,0
0.196875,-0.014886,0
0.197265625,-0.007443,0
0.19765625,0.007443,0.025
0.198046875,0.014886,-0.025
0.1984375,0.027291,0
0.198828125,0.037215,0
0.19921875,0.042177,0
0.199609375,0.047139,0
0.2,0.054582,0
0.200390625,0.057063,0
0.20078125,0.057063,0
0.201171875,0.059544,0.05
0.2015625,0.062025,0.025
0.201953125,0.057063,0
0.20234375,0.052101,0
0.202734375,0.052101,0
0.203125,0.04962,0
0.203515625,0.044658,0.025
0.20390625,0.044658,-0.025
0.204296875,0.044658,-0.025
0.2046875,0.039696,0.025
0.205078125,0.037215,0.025
0.20546875,0.032253,0
0.205859375,0.029772,0.025
0.20625,0.029772,0
0.206640625,0.029772,0
0.20703125,0.02481,0.025
0.207421875,0.027291,0.025
0.2078125,0.02481,-0.025
0.208203125,0.022329,-0.025
0.20859375,0.022329,0
0.208984375,0.019848,0
0.209375,0.017367,0
0.209765625,0.017367,0.025
0.21015625,0.017367,0
0.210546875,0.017367,0
0.2109375,0.014886,0
0.211328125,0.014886,0.025
0.21171875,0.012405,0
0.212109375,0.014886,-0.025
0.2125,0.012405,0
0.212890625,0.012405,-0.025
0.21328125,0.014886,0
0.213671875,0.012405,-0.025
0.2140625,0.012405,0
0.214453125,0.009924,0.025
0.21484375,0.009924,0.025
0.215234375,0.009924,-0.025
0.215625,0.014886,0
0.216015625,0.009924,0
0.21640625,0.012405,0
0.216796875,0.012405,0
0.2171875,0.009924,0
0.217578125,0.009924,0
0.21796875,0.007443,0
0.218359375,0.009924,-0.025
0.21875,0.009924,0
0.219140625,0.007443,0
0.21953125,0.007443,0
0.219921875,0.007443,-0.025
0.2203125,0.009924,0
0.220703125,0.009924,-0.025
0.22109375,0.007443,0
0.221484375,0.009924,0
0.221875,0.009924,0
0.222265625,0.007443,0
0.22265625,0.009924,0.025
0.223046875,0.007443,0
0.2234375,0.007443,0
0.223828125,0.004962,0
